day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_qty
0,50.0,0.0,50.0,0.0,50.0,1998.0979,21208.9052,635.4463,4.06,24.8014,1389.9179
1,50.0,0.0,100.0,81.2,50.0,1998.0979,19143.8274,566.5442,4.06,24.8014,1749.9179
2,50.0,0.0,150.0,81.2,50.0,1998.0979,17078.7496,497.6421,4.06,24.8014,1749.918
3,50.0,0.0,200.0,81.2,50.0,1998.0979,15013.6718,428.74,4.06,24.8014,1749.918
4,50.0,0.0,250.0,81.2,50.0,1998.0979,12948.594,359.8379,4.06,24.8014,1749.918
5,50.0,0.0,300.0,131.2,50.0,2048.0979,10883.5162,290.9358,4.06,24.8014,1749.918
6,50.0,0.0,350.0,131.2,50.0,2048.0979,8818.4384,222.0337,4.06,24.8014,1749.9179
7,50.0,0.0,400.0,131.2,50.0,2048.0979,6833.3606,156.3315,4.06,24.8014,1829.9179
8,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6735.1807,156.0547,4.06,24.8014,1849.9179
9,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6637.0008,155.7778,4.06,24.8014,1849.9179
10,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6538.8208,155.501,4.06,24.8014,1849.9179
11,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6440.6409,155.2241,4.06,24.8014,1849.9179
12,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6342.461,154.9473,4.06,24.8014,1849.9179
13,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6244.2811,154.6704,4.06,24.8014,1849.9179
14,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6146.1011,154.3936,4.06,24.8014,1849.9179
15,50.0,50.0,400.0,2048.0979,50.0,2048.0979,6047.9212,154.1167,4.06,24.8014,1849.9179
16,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5949.7413,153.8399,4.06,24.8014,1849.918
17,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5854.2614,153.5631,4.06,24.8014,1852.6179
18,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5766.2314,153.2867,4.06,24.8014,1860.0679
19,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5678.2015,153.0103,4.06,24.8014,1860.0679
20,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5590.1716,152.7338,4.06,24.8014,1860.0679
21,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5502.1417,152.4574,4.06,24.8014,1860.0679
22,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5414.1117,152.1809,4.06,24.8014,1860.0679
23,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5326.0818,151.9045,4.06,24.8014,1860.0679
24,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5238.0519,151.628,4.06,24.8014,1860.0679
25,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5150.022,151.3516,4.06,24.8014,1860.068
26,50.0,50.0,400.0,2048.0979,50.0,2048.0979,5061.992,151.0751,4.06,24.8014,1860.0679
27,50.0,50.0,400.0,2048.0979,50.0,2048.0979,4973.9621,150.7987,4.06,24.8014,1860.0679
28,50.0,50.0,400.0,2048.0979,50.0,2048.0979,4885.9322,150.5222,4.06,24.8014,1860.0679
29,50.0,50.0,400.0,2048.0979,50.0,2048.0979,4797.9023,150.2458,4.06,24.8014,1860.0679
